id,popularity,vote_count,genre_ids,title,vote_average,datetime
301528,178.67,6048,"[12, 16, 35, 14, 10751]",Toy Story 4,7.6,2019-06-19
577922,178.257,1861,"[28, 878, 53]",Tenet,7.5,2020-08-22
661677,174.653,37,[35],So Much Love to Give,6.9,2020-09-09
623491,172.97299999999998,393,"[35, 27]",The Babysitter: Killer Queen,6.8,2020-09-10
429617,170.75900000000001,8416,"[28, 12, 878]",Spider-Man: Far from Home,7.6,2019-06-28
581387,170.56099999999998,113,"[28, 12, 53]",Ashfall,7.0,2019-12-19
583083,169.738,3436,"[35, 10749]",The Kissing Booth 2,8.1,2020-07-24
565840,166.622,51,"[28, 878]",The Immortal Wars: Resurgence,6.0,2019-12-13
420818,165.40099999999998,6846,"[12, 10402, 10751]",The Lion King,7.2,2019-07-12
582306,164.69,11,[878],Assassin 33 A.D.,5.8,2020-01-24
616803,160.423,126,"[28, 18, 53]",Breaking Surface,7.3,2020-02-14
458156,160.30100000000002,5743,"[28, 80, 53]",John Wick: Chapter 3 - Parabellum,7.4,2019-05-15
703745,160.118,258,"[28, 27, 878]",Deep Blue Sea 3,6.2,2020-07-28
354912,158.68,12218,"[12, 16, 35, 14, 10751]",Coco,8.2,2017-10-27
631132,156.966,72,"[28, 12, 16, 14, 53]",Goblin Slayer: Goblin's Crown,8.1,2020-02-01
290859,153.096,2837,"[28, 12, 878]",Terminator: Dark Fate,6.5,2019-10-23
594084,152.333,15,[35],Guest House,5.7,2020-09-04
673595,151.32,235,"[16, 35, 10751]",Playdate with Destiny,7.6,2020-02-29
702936,151.289,26,[28],Sniper: Assassin's End,5.8,2020-06-15
340102,150.786,308,"[28, 12, 27, 878]",The New Mutants,5.8,2020-08-26
655431,149.66899999999998,11,"[28, 80, 878]",Psycho-Pass 3 Movie: First Inspector,7.1,2020-03-27
621013,149.215,420,"[18, 10749]",Chemical Hearts,7.6,2020-08-21
614696,148.651,485,"[28, 27, 53]",#Alive,7.4,2020-06-24
274855,148.523,3092,"[28, 878, 53]",Geostorm,6.0,2017-10-13
594530,148.056,96,"[16, 35, 10751]",Lamp Life,7.3,2020-01-31
